,id,followers_count,follow_count,blog_count,indiv_attitude,indiv_comments,indiv_reposts,indiv_latenight,indiv_neg_emoji,Cogproc,Negemo,Negate,Affect,Bio,Discrep,Tentat,Insight,Health,Sad,depressed,mssd_Cogproc,mssd_Negemo,mssd_Negate,mssd_Affect,mssd_Bio,mssd_Discrep,mssd_Tentat,mssd_Insight,mssd_Health,mssd_Sad,mssd_depressed,label
0,738.0,0.0,0.0,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.1816958277254374,0.040376850605652756,0.03230148048452221,0.052489905787348586,0.0847913862718708,0.05114401076716016,0.04576043068640646,0.02557200538358008,0.1009421265141319,0.07806191117092867,0.016494845360824743,0.024632868370635348,0.0006770995563203777,0.0024912755509608727,0.005749636130798099,0.0014853832225761618,0.01506095051536615,0.023654823386735992,0.019525142584868798,0.0014501328894756826,0.00016680555555555554,0.02182008575060459,1
1,739.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.15723270440251572,0.06918238993710692,0.10062893081761007,0.06918238993710692,0.08176100628930817,0.06289308176100629,0.031446540880503145,0.06289308176100629,0.1320754716981132,0.08176100628930817,0.05952380952380952,0.019811061219377674,0.007768356639721238,0.015349077755177515,0.026798055138820998,0.027587890625,0.002197265625,0.0017234305658284025,0.003705627900035319,0.027587890625,0.00036982248520710064,0.024067180565828405,1
2,740.0,18.0,18.0,388.0,0.0,0.0,0.0,0.6574074074074074,0.0,0.1376176566049984,0.018825056799740343,0.014605647517039922,0.039272963323596234,0.060694579681921455,0.042843232716650435,0.02596559558584875,0.017526777020447908,0.09380071405387862,0.07757221681272314,0.00410958904109589,0.02210503574414044,0.0017691226962894986,0.004389753799806839,0.004216623540233998,0.015132579985315801,0.0042125458215595294,0.003628631344559823,0.004398256701260546,0.0057008911497960805,0.0021581839092147154,0.0022857986997029058,1
3,741.0,2.0,2.0,57.0,0.0,0.0,0.0,1.0,0.0,0.14530892448512586,0.038901601830663615,0.05263157894736842,0.05491990846681922,0.09096109839816933,0.06407322654462243,0.031464530892448515,0.02517162471395881,0.09839816933638444,0.08237986270022883,0.02654867256637168,0.04018523905462462,0.012641899927727315,0.009530491691856444,0.015490146236304899,0.046299590751869305,0.00984909162104907,0.014584969136803353,0.01671041465281981,0.044946175556642924,0.0002906729498709877,0.0032229626788018878,1
4,742.0,195.0,195.0,557.0,0.0,0.0,0.0,1.3764705882352941,0.03529411764705882,0.1679023113824684,0.054513737461840385,0.03837767117313563,0.06061927605756651,0.10074138682948103,0.0737025730484082,0.03924989097252508,0.02311382468382032,0.10859136502398604,0.059092891408634975,0.03792088917947042,0.025891707051558705,0.01904352917384233,0.004744870535953983,0.022297102562090023,0.054542055208518396,0.006786049796621848,0.005498917550574127,0.004688158379948703,0.02948471931824193,0.05260331173575243,0.06381857715268713,1
5,743.0,101.0,101.0,39.0,0.0,0.0,0.0,1.0588235294117647,0.0,0.17328042328042328,0.037037037037037035,0.007936507936507936,0.06613756613756613,0.05555555555555555,0.052248677248677246,0.03439153439153439,0.01917989417989418,0.09854497354497355,0.125,0.018214936247723135,0.024051119600990274,0.0014428285102453598,0.004374294464223044,0.0035229910197958196,0.008560510651995139,0.0028565672172576988,0.0034991997832677533,0.0075895372200209575,0.0024621255057895777,0.0005401883217100699,0.0014503542465213418,1
6,744.0,1.0,1.0,27.0,0.0,0.0,0.0,0.25,0.0,0.1870967741935484,0.07096774193548387,0.025806451612903226,0.03870967741935484,0.10967741935483871,0.03870967741935484,0.025806451612903226,0.03870967741935484,0.0967741935483871,0.05806451612903226,0.027777777777777776,0.0827639390655322,0.002661962885949426,0.01176679674497646,0.03211951831753083,0.00507220432032462,0.027808591849813786,0.0010256581842890272,0.0030796913388006506,0.0029239766081871343,0.0014014325755216446,0.0014014325755216446,1
7,745.0,34.0,34.0,11.0,0.18181818181818182,0.0,0.0,1.7272727272727273,0.0,0.15591397849462366,0.06451612903225806,0.043010752688172046,0.03225806451612903,0.06989247311827956,0.043010752688172046,0.03225806451612903,0.04838709677419355,0.08064516129032258,0.08602150537634409,0.032520325203252036,0.04570663106013755,0.00442215080093868,0.005903289354345242,0.006729970499227978,0.007620092576975694,0.003502928355915368,0.0013153381683251811,0.011382610895597908,0.007620092576975694,0.00016,0.0021955555555555556,1
8,746.0,101.0,101.0,588.0,0.125,0.0625,0.0,0.4375,0.0,0.13616071428571427,0.04017857142857143,0.060267857142857144,0.05357142857142857,0.08482142857142858,0.06919642857142858,0.020089285714285716,0.026785714285714284,0.109375,0.07589285714285714,0.030821917808219176,0.01814803670549232,0.0006731668648334981,0.0027617740282032894,0.007689176898652689,0.023277906715680197,0.010749624662828406,0.010362330936505184,0.012786402858894211,0.0016563194232405926,0.002636245408455362,0.006649716117754546,1
9,747.0,23.0,23.0,962.0,0.0,0.0,0.0,0.5692307692307692,0.03076923076923077,0.19614711033274956,0.043782837127845885,0.03502626970227671,0.07530647985989491,0.09807355516637478,0.0595446584938704,0.0542907180385289,0.02626970227670753,0.09281961471103327,0.1138353765323993,0.018469656992084433,0.08177515753417745,0.0164901133841251,0.041039270888817474,0.024889639737563335,0.022242515735230978,0.00935938747350111,0.005914804381294321,0.02602962315186855,0.015277537954903164,0.002143675250771605,0.035837809244791664,1
